feature,coefficient,score_contribution,abs_contribution
D_145,-0.005827437336603497,-0.1681442989321811,0.1681442989321811
D_64,0.005672304900717511,0.16366812301350636,0.16366812301350636
D_68,-0.005599955412454018,-0.16158055805493443,0.16158055805493443
B_10,-0.005408888694373959,-0.15606753792187383,0.15606753792187383
B_6,-0.0044827126758313325,-0.12934374694303918,0.12934374694303918
B_40,0.0029846490970428553,0.086118769021949,0.086118769021949
R_14,0.0029114226868106226,0.08400590144386615,0.08400590144386615
R_6,-0.0017019070707109348,-0.04910665781937056,0.04910665781937056
B_26,0.0014705221724963602,0.042430300915555275,0.042430300915555275
R_7,0.0005499355583374519,0.0158677860564389,0.0158677860564389
R_20,7.728307459543718e-05,0.002229918169269781,0.002229918169269781
